target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	44	118.958
b0003	933	434	18	220.224
b0004	1287	788	23	154.983
b0005	297	11.6716	0	0
b0006	777	278	32	611.206
b0007	1431	932	1	5.69727
b0008	954	455	431	5029.77
b0009	588	93.3306	0	0
b0010	567	76.7977	1	69.1408
b0011	714	215.002	0	0
b0013	405	19.811	0	0
b0014	1917	1418	458	1715.03
b0015	1131	632	1	8.40167
b0016	1113	614	16.6667	144.133
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	15	119.233
b0020	906	407	7	91.3243
b0021	504	42.0749	0.5	63.1001
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	69	827.043
b0026	2817	2318	75	171.803
b0027	495	38.8032	0	0
b0028	450	26.8585	0	0
b0029	951	452	12	140.97
b0030	915	416	1	12.7641
b0031	822	323	3	49.3175
b0032	1149	650	7	57.1831
b0033	3222	2723	6	11.7
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	2	10.0661
b0038	1218	719	0	0
b0039	1143	644	1	8.24512
b0040	1515	1016	0	0
b0041	771	272	1	19.5215
b0042	942	443	1	11.9861
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	3	293.717
b0047	1863	1364	8	31.1428
b0048	480	34.082	0	0
b0049	843	344	4	61.7425
b0050	378	16.9581	0	0
b0051	822	323	15	246.588
b0052	990	491	5	54.0718
b0053	1287	788	61	411.042
b0054	2355	1856	117	334.727
b0055	816	317	4	67.0013
b4659	807	308	1	17.2398
b0058	660	161.116	6	197.741
b0059	2907	2408	48	105.844
b0060	2352	1853	4	11.4622
b0061	696	197.009	0	0
b0062	1503	1004	0	0
b0063	1701	1202	0	0
b0064	879	380	3	41.9199
b0065	765	266	2	39.9237
b0066	699	200.007	3	79.6451
b0067	1611	1112	7	33.4253
b0068	984	485	12	131.378
b0069	1656	1157	1	4.58933
b4662	132	7.08371	0	0
b0070	1179	680	143	1116.63
b0071	606	109.099	12	584.043
b0072	1401	902	3	17.6603
b0073	1092	593	0	0
b0074	1572	1073	0	0
b0075	87	6.40809	0	0
b0076	945	446	1	11.9055
b0077	1725	1226	0	0
b0078	492	37.7891	0	0
b0080	1005	506	30	314.814
b0081	459	28.7601	1	184.626
b0082	942	443	27	323.625
b0083	366	15.9154	0	0
b0084	1767	1268	26	108.877
b0085	1488	989	19	102.009
b0086	1359	860	9	55.5683
b0087	1083	584	6	54.5533
b0088	1317	818	3	19.4738
b0089	1245	746	19	135.238
b0090	1068	569	14	130.647
b0091	1476	977	17	92.3926
b0092	921	422	22	276.817
b0093	831	332	13	207.916
b0094	1263	764	27	187.652
b0095	1152	653	39	317.128
b0096	918	419	81	1026.49
b0097	513	45.7163	10	1161.48
b0098	2706	2207	137	329.61
b0099	390	18.1303	0	0
b0101	198	8.39836	0	0
b0102	744	245	14	303.42
b0103	621	123.049	12	517.827
b0104	1044	545	33	321.514
b0106	1203	704	3	22.6272
b0107	1386	887	1	5.98631
b0108	441	25.1479	0	0
b0109	894	395	10	134.427
b0110	552	66.4726	6	479.282
b0111	855	356	1	14.9153
b0112	1374	875	7	42.4788
