target_id	length	eff_length	est_counts	tpm
b0001	66	6.13712	0	0
b0002	2463	1964	92	234.078
b0003	933	434	21	241.793
b0004	1287	788	36	228.292
b0005	297	11.6716	0	0
b0006	777	278	20	359.5
b0007	1431	932	3	16.0849
b0008	954	455	278	3053.14
b0009	588	93.3306	2	107.083
b0010	567	76.7977	1	65.0677
b0011	714	215.002	0	0
b0013	405	19.811	0	0
b0014	1917	1418	848	2988.36
b0015	1131	632	34	268.829
b0016	1113	614	17.3333	141.068
b0018	210	8.69356	0	0
b4412	153	7.45333	0	0
b0019	1167	668	39	291.744
b0020	906	407	12	147.333
b0021	504	42.0749	0.75	89.0743
b0022	276	10.782	0	0
b0023	264	10.331	0	0
b0024	219	8.9292	0	0
b0025	942	443	44	496.321
b0026	2817	2318	99	213.42
b0027	495	38.8032	0	0
b0028	450	26.8585	0	0
b0029	951	452	22	243.219
b0030	915	416	2	24.0243
b0031	822	323	12	185.649
b0032	1149	650	8	61.5022
b0033	3222	2723	10	18.3513
b0034	396	18.7715	0	0
b0035	591	95.8682	0	0
b0036	786	287	0	0
b0037	1554	1055	3	14.2096
b0038	1218	719	2	13.9
b0039	1143	644	3	23.2782
b0040	1515	1016	0	0
b0041	771	272	0	0
b0042	942	443	0	0
b0043	1287	788	0	0
b0044	288	11.2734	0	0
b0045	1332	833	0	0
b0046	531	54.2343	0	0
b0047	1863	1364	2	7.32705
b0048	480	34.082	0	0
b0049	843	344	5	72.6316
b0050	378	16.9581	0	0
b0051	822	323	16	247.532
b0052	990	491	10	101.773
b0053	1287	788	68	431.218
b0054	2355	1856	105	282.7
b0055	816	317	2	31.5271
b4659	807	308	12	194.69
b0058	660	161.116	14	434.215
b0059	2907	2408	143	296.752
b0060	2352	1853	3	8.09021
b0061	696	197.009	0	0
b0062	1503	1004	0	0
b0063	1701	1202	0	0
b0064	879	380	4	52.6005
b0065	765	266	8	150.287
b0066	699	200.007	1	24.9844
b0067	1611	1112	2	8.9875
b0068	984	485	15	154.548
b0069	1656	1157	4	17.2759
b4662	132	7.08371	0	0
b0070	1179	680	9	66.1374
b0071	606	109.099	0	0
b0072	1401	902	1	5.53997
b0073	1092	593	1	8.42673
b0074	1572	1073	2	9.31417
b0075	87	6.40809	0	0
b0076	945	446	0	0
b0077	1725	1226	1	4.0759
b0078	492	37.7891	0	0
b0080	1005	506	22	217.263
b0081	459	28.7601	4	694.999
b0082	942	443	35	394.801
b0083	366	15.9154	0	0
b0084	1767	1268	30	118.227
b0085	1488	989	30	151.579
b0086	1359	860	11	63.9158
b0087	1083	584	9	77.0093
b0088	1317	818	21	128.286
b0089	1245	746	21	140.668
b0090	1068	569	14	122.95
b0091	1476	977	42	214.817
b0092	921	422	12	142.096
b0093	831	332	23	346.181
b0094	1263	764	38	248.544
b0095	1152	653	45	344.36
b0096	918	419	40	477.045
b0097	513	45.7163	8	874.446
b0098	2706	2207	121	273.966
b0099	390	18.1303	0	0
b0101	198	8.39836	0	0
b0102	744	245	9	183.565
b0103	621	123.049	13	527.932
b0104	1044	545	27	247.56
b0106	1203	704	2	14.1962
b0107	1386	887	2	11.2673
b0108	441	25.1479	0	0
b0109	894	395	6	75.9046
b0110	552	66.4726	5	375.873
b0111	855	356	2	28.0733
b0112	1374	875	9	51.3982
b0113	765	266	179	3362.68
b0114	2664	2165	1654	3817.61
b0115	1893	1394	629	2254.77
b0116	1425	926	443	2390.6
b0117	1854	1355	0	0
b0118	2598	2099	75	178.551
b0119	363	15.6727	0	0
b0120	795	296	64	1080.44
b0121	867	368	50	678.947
b0122	348	14.5549	0	0
b0123	1551	1052	5	23.7502
b0124	2391	1892	27	71.311
b0125	537	57.4692	66	5738.82
b0126	663	164.095	38	1157.18
b0127	927	428	16	186.806
b0128	771	272	6	110.229
b0129	441	25.1479	0	0
b0130	1230	731	8	54.6873
b0131	381	17.2382	0	0
b0132	903	404	0	0
b0133	852	353	3	42.4679
b0134	795	296	13	219.465
b0135	1239	740	2	13.5055
b0136	597	101.058	0	0
b0137	606	109.099	1	45.803
b0138	570	79.0173	0	0
b0139	2598	2099	0	0
b0140	741	242	0	0
b0141	585	90.8337	0	0
b0142	480	34.082	0	0
b0143	1398	899	54	300.157
b0144	927	428	7	81.7275
b0145	456	28.1035	3	533.426
b0146	705	206.004	2	48.514
b0147	531	54.2343	0	0
b0148	2430	1931	6	15.5268
b0149	2535	2036	32	78.5391
b0150	2244	1745	188	538.364
b0151	798	299	3	50.1376
b0152	891	392	4	50.9903
b0153	1983	1484	5	16.8364
b0154	1281	782	21	134.192
b0155	1422	923	2	10.8278
b0156	345	14.3489	0	0
b0157	624	125.904	2	79.3786
b0158	801	302	6	99.2792
b0159	699	200.007	23	574.641
b0160	1518	1019	12	58.8465
b0161	1425	926	32	172.684
b0162	1158	659	0	0
b0163	387	17.824	0	0
b0164	813	314	3	47.7425
b0166	825	326	35	536.493
b0167	2673	2174	18	41.3739
b0168	795	296	43	725.923
b0169	726	227.001	525	11557
b0170	852	353	978	13844.5
b0171	726	227.001	27	594.361
b0172	558	70.4455	86	6100.41
b0173	1197	698	10	71.591
b0174	762	263	53	1007.01
b0175	858	359	14	194.871
b0176	1353	854	49	286.716
b0177	2433	1934	142	366.898
b0178	486	35.8681	50	6965.87
b0179	1026	527	97	919.761
b0180	456	28.1035	3	533.426
b0181	789	290	32	551.399
b0182	1149	650	51	392.076
b0183	597	101.058	26	1285.63
b0184	3483	2984	60	100.477
b0185	960	461	43	466.102
b0186	2142	1643	4	12.1657
b0187	390	18.1303	0	0
b0188	1299	800	8	49.9705
b0189	255	10.0165	0	0
b4406	201	8.47023	0	0
b0190	546	62.7123	2	159.364
b0191	423	22.2141	0	0
b0192	711	212.003	3	70.7121
b0193	825	326	0	0
b0194	1719	1220	66	270.332
b0195	708	209.003	2	47.8179
b0196	405	19.811	0	0
b0197	816	317	31	488.671
b0198	654	155.169	6	193.224
b0199	1032	533	24	225.008
b0200	576	83.6041	0	0
b0201	1542	1043	1.25	5.9888
b0202	77	6.27601	0	0
b0203	76	6.26311	0	0
b0204	2904	2405	9.61624	19.9804
b0205	120	6.88922	0	0
b0206	77	6.27601	0	0
b0207	804	305	5	81.9189
b0208	915	416	1	12.0121
b0209	801	302	5	82.7326
b0210	624	125.904	1	39.6893
b0211	1359	860	89	517.137
b0212	756	257	2	38.8876
b0213	723	224.001	4	89.2327
b0214	468	30.877	0	0
b0215	732	233	5	107.233
b0216	77	6.27601	0	0
b0217	786	287	1	17.4113
b4586	480	34.082	0	0
b0218	357	15.2072	0	0
b4503	273	10.6657	0	0
b0219	771	272	0	0
b0220	474	32.4213	0	0
b0221	2445	1946	1	2.56786
b0222	579	85.9688	1	58.1263
b0223	768	269	5	92.882
b0224	741	242	29	598.82
b0225	279	10.9009	0	0
b0226	261	10.224	0	0
b0227	750	251	0	0
b0228	498	39.8547	0	0
b0229	1713	1214	0	0
b0230	756	257	0	0
b0231	1056	557	1	8.97137
b0232	294	11.5358	0	0
b0233	399	19.1073	0	0
b0234	453	27.47	0	0
b0235	207	8.61779	0	0
b0236	501	40.9449	0	0
b0237	1458	959	167	870.185
b0238	459	28.7601	4	694.999
b0239	1245	746	9	60.2861
b0240	402	19.4536	0	0
b0241	1056	557	2	17.9427
b0242	1104	605	22	181.711
b0243	1254	755	28	185.321
b0244	76	6.26311	0	0
b4626	63	6.10029	0	0
b0245	342	14.1482	0	0
b0246	318	12.7153	0	0
b4504	222	9.01066	0	0
b0247	477	33.2366	0	0
b0248	459	28.7601	0	0
b0249	240	9.53274	0	0
b0250	468	30.877	0	0
b0251	444	25.6983	0	0
b4627	222	9.01066	0	0
b4628	192	8.25831	0	0
b0252	822	323	0	0
b0253	864	365	8	109.524
b0254	894	395	0	0
b4587	684	185.022	1	27.0079
b0256	1152	653	14	107.134
b0258	1108	609	3	24.616
b0259	1017	518	11.1308	107.377
b0260	1404	905	0	0
b0261	933	434	0	0
b0262	1047	548	0	0
b0263	348	14.5549	0	0
b0264	504	42.0749	0	0
b0265	276	10.782	0	0
b4708	174	7.86552	0	0
